Type,Name,Contact Info,Street Address,Borough,Zip Code,Days of Operation,Hours of Operation,State,Latitude,Longitude,City,Country
Soup Kitchen,XAVIER MISSION INC ,212 627-2100,55 WEST 15TH STREET,Manhattan,10011,Sunday,12:45-3PM,New York,40.7378597,-73.9955823,,
Food Pantry,THE DOOR'S FOOD & NUTRITION PROGRAM ,212-941-9090,555 BROOME STREET,Manhattan,10013,Monday-Friday,4:30-5:30PM,New York,40.7242319,-74.0051992,,
Soup Kitchen,THE DOOR'S FOOD & NUTRITION PROGRAM ,212-941-9090,555 BROOME STREET,Manhattan,10013,Monday-Friday,4:30-5:30PM,New York,40.7242319,-74.0051992,,
Soup Kitchen,GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP. ,212 883-0680,120 EAST 32ND STREET,Manhattan,10016,Monday-Sunday,6:30-7:30A/12-1:30P/4-6P,New York,40.7452029,-73.9814697,,
Food Pantry,GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICES CORPORATION ,212-883-0680,120 EAST 32ND STREET,Manhattan,10016,Wednesday(2),2-3:30PM,New York,40.7452029,-73.9814697,,
FPH,AGAY MEN'S HEALTH CRISIS ,212-637-1000,307 WEST 38TH STREET,Manhattan,10018,Tuesday-Thursday,11AM-2PM,New York,40.7550594,-73.9921483,,
Food Pantry,MCCNY CHARITIES ,332-400-7488,446 WEST 36TH STREET,Manhattan,10018,Thursday,9-11AM,New York,40.7553239,-73.9975259,,
Food Pantry,RAUSCHENBUSCH METRO MINISTRIES INC. ,212 594-4464,410 WEST 40TH STREET,Manhattan,10018,"Saturday(1,2,3,4)",11-11:30AM,New York,40.7571935,-73.9943464,,
Food Pantry,ST. PAUL'S HOUSE INC. ,212 265-5433,335 WEST 51ST STREET,Manhattan,10019,Tuesday,9:30-10:30AM(info by zip code in alpha order),New York,40.7636943,-73.98703,,
Soup Kitchen,ST. PAUL'S HOUSE INC. ,212 265-5433,335 WEST 51ST STREET,Manhattan,10019,"Monday,Wednesday,Friday",8-:8:30AM,New York,40.7636943,-73.98703,,
SKM, COALITION FOR THE HOMELESS ,212-776-2002,108 EAST 51ST STREET,Manhattan,10022,Monday-Sunday,5:30-10PM,New York,40.7573397,-73.9727562,,
Food Pantry,CROSSROADS COMMUNITY SERVICES INC ,212-378-0229,108 EAST 51ST STREET,Manhattan,10022,Thursday,10AM-1PM,New York,40.7573397,-73.9727562,,
Soup Kitchen,CROSSROADS COMMUNITY SERVICES INC ,212-378-0229,108 EAST 51ST STREET,Manhattan,10022,"Monday,Wednesday,Sunday",7:30AM-8:45AM,New York,40.7573397,-73.9727562,,
Food Pantry,NATIONAL COUNCIL OF JEWISH WOMEN ,212-687-5030,241 WEST 72ND STREET,Manhattan,10023,Monday,9:30AM-1:30PM,New York,40.7794523,-73.9830312,,
Soup Kitchen,NATIONAL COUNCIL OF JEWISH WOMEN ,212-687-5030,241 WEST 72ND STREET,Manhattan,10023,Wednesday/Sunday,4:30-5:30PM/11:30AM-12:30PM,New York,40.7794523,-73.9830312,,
SKK, CONGREGATION B'NAI JESHURUN ,212 787-7600,257 WEST 88TH STREET,Manhattan,10024,Thursday,12-1PM,New York,40.7900875,-73.9761751,,
Soup Kitchen,ST. IGNATIUS EPISCOPAL CHURCH ,212 580-3326,552 WEST END AVE,Manhattan,10024,Monday/Saturday,6:45-7:15PM/3:45-4:15PM,New York,40.78927,-73.9771556,,
Food Pantry,WESTSIDE CAMPAIGN AGAINST HUNGER ,212 362-3662,263 W. 86th St.,Manhattan,10024,Tuesday-Friday,9AM-1PM,New York,40.7889381,-73.977291,,
Food Pantry,ADVENT LUTHERAN CHURCH ,212-665-2504,2504 BROADWAY,Manhattan,10025,"Saturday(1,3)",10AM-12PM,New York,40.7926971,-73.9727002,,
Soup Kitchen,ADVENT LUTHERAN CHURCH ,212-665-2504,2504 BROADWAY,Manhattan,10025,"Saturday(2,4)",12-1PM,New York,40.7926971,-73.9727002,,
Food Pantry,BROADWAY COMMUNITY ,212-864-6100,601 WEST 114TH STREET,Manhattan,10025,"Tuesday,Thursday",2-5PM,New York,40.8069051,-73.965058,,
Soup Kitchen,BROADWAY COMMUNITY ,212-864-6100,601 WEST 114TH STREET,Manhattan,10025,"Monday,Tuesday,Wednesday,Friday",10-11:30A&12:30-1:30P,New York,40.8069051,-73.965058,,
Food Pantry,CATHEDRAL COMMUNITY CARES ,347-376-2848,1047 AMSTERDAM AVENUE,Manhattan,10025,Thursday,12-6PM,New York,40.8037659,-73.9617843,,
Soup Kitchen,CATHEDRAL OF ST. JOHN THE DIVINE ,212-316-7579,1047 AMSTERDAM AVENUE,Manhattan,10025,Sunday,10AM-3PM,New York,40.8037659,-73.9617843,,
Food Pantry,COMMUNITY IMPACT ,212-854-6310,616 WEST 114TH STREET,Manhattan,10025,"Monday,Wednesday,Thursday",11AM-2PM,New York,40.806962,-73.9658737,,
Soup Kitchen,SOUP KITCHEN/COMMUNITY LUNCH ,212-854-6310,601 WEST 114TH STREET (BASEMENT OF BROADWAY PRESBYTERIAN NY CHURCH),,10025,Friday,12:30-2PM,New York,,,,
Soup Kitchen,SOUTHERN BAPTIST CHURCH ,212 663-6549,12 WEST 108TH STREET,Manhattan,10025,Wednesday,12-1:30PM,New York,40.7995308,-73.9601233,,
Soup Kitchen,ST. MICHAEL'S CHURCH ,212-222-2700,225 WEST 99TH STREET,Manhattan,10025,Saturday,10-11:30AM,New York,40.7963437,-73.9691009,,
Food Pantry,FOOD BANK FOR NEW YORK CITY ,212-566-7855,252 WEST 116TH STREET,Manhattan,10026,"Tuesday,Wednesday/Thursday/Saturday(1)",9:30A-3:30P/12-6PM/11AM-2PM,New York,40.8039327,-73.9549985,,
Soup Kitchen,FOOD BANK FOR NEW YORK CITY ,212-665-8747,252 WEST 116TH STREET,Manhattan,10026,Monday-Friday,4-6PM,New York,40.8039327,-73.9549985,,
Soup Kitchen,FREE FOOD HARLEM ,510-541-9430,37 WEST 119TH STREET,Manhattan,10026,"Wednesday,Friday",5:15-7PM,New York,40.8032964,-73.9461554,,
Food Pantry,PROJECT CREATE - ANTHONY HOUSE ,212-663-1596,73 LENOX AVE,Manhattan,10026,Wednesday,10AM-12PM,New York,40.800671,-73.9511158,,
Food Pantry,AFRICAN SERVICES COMMITTEE ,212-222-3882,(101) 429 WEST 127TH STREET,Manhattan,10027,Monday-Friday,10AM-4PM,New York,40.8124881,-73.9526359,,
Food Pantry,ANTIOCH OUTREACH MINISTRIES ,212-534-5715,41 WEST 124TH STREET,Manhattan,10027,Saturday,7:30-11AM,New York,40.806523,-73.944391,,
Food Pantry,CHURCH OF THE ANNUNCIATION ,212 234-1919,88 CONVENT AVE. NEAR 132ND ST.,Manhattan,10027,Tuesday,2-5PM,New York,,,,
Food Pantry,HARLEM DOWLING WEST SIDE CENTER/SPECIALIZED SERVICES ,212-749-3656,2139 ADAM CLAYTON POWELL JR. BLVD,Manhattan,10027,Friday,12-2PM,New York,40.8099882,-73.9471209,,
Food Pantry,MT. OLIVET BAPTIST CHURCH COMMUNITY MEAL PROGRAM ,212 864-1155,201 LENOX AVE,Manhattan,10027,"Tuesday,Wednesday",10:30-11:30AM,New York,40.8049411,-73.948073,,
Food Pantry,RIVERSIDE CHURCH FOOD PANTRY ,212-870-6733,91 CLAREMONT AVE,Manhattan,10027,Tuesday-Friday,9AM-1PM,New York,40.8119559,-73.9625116,,
Food Pantry,ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC ,212-369-6643,1765 MADISON AVE,Manhattan,10029,"Friday/Saturday(2,4)",10-11AM/10AM-12PM,New York,40.799722,-73.9448563,,
Food Pantry,LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE ,646-672-5200,333 EAST 115TH STREET,Manhattan,10029,Wednesday,9-11:30AM & 1-2:30PM(info by zip code in alpha order),New York,40.7958798,-73.9366379,,
Food Pantry,MACEDONIA CH. ASSEMBLY OF GOD-BREAD OF LIFE FOOD PANTRY ,212 410-3412,340 EAST 106TH STREET,Manhattan,10029,Friday,9-10:30AM,New York,40.7897257,-73.9409348,,
Food Pantry,NEW YORK COMMON PANTRY ,917-720-9700,8 EAST 109TH STREET,Manhattan,10029,Wednesday-Saturday,10AM-2:30PM,New York,40.7957739,-73.9492365,,
Soup Kitchen,NEW YORK COMMON PANTRY ,917-720-9700,8 EAST 109TH STREET,Manhattan,10029,Monday-Friday,2:30-3:30PM,New York,40.7957739,-73.9492365,,
Food Pantry,ST. CECILIA'S PARISH SERVICES ,212 348-0488,125 EAST 105TH STREET,Manhattan,10029,Wednesday,9AM-12PM,New York,40.7919483,-73.9473268,,
Food Pantry,IRIS HOUSE ,646-548-0100,2348 ADAM CLAYTON POWELL JR. BLVD,Manhattan,10030,Thursday,10AM-3PM,New York,40.8171198,-73.942839,,
Soup Kitchen,IRIS HOUSE ,646-548-0100,2348 ADAM CLAYTON POWELL JR. BLVD,Manhattan,10030,Tuesday-Friday,12-1:30PM,New York,40.8171198,-73.942839,,
Food Pantry,SAGE CENTER HARLEM ,646-660-895,220 WEST 143RD STREET,Manhattan,10030,Wednesday(2ND),3-5PM,New York,40.8206553,-73.941213,,
Food Pantry,ST. CHARLES BORROMEO CHURCH ,212 281-2100,211 WEST 141ST STREET,Manhattan,10030,Saturday,9-11:30AM,New York,40.8196059,-73.9416471,,
Food Pantry,"WEST HARLEM GROUP ASSISTANCE, INC ",212-832-1399,625 LENOX AVE,Manhattan,10030,Monday-Thursday,10AM-2PM,New York,40.8182373,-73.9382373,,
Food Pantry,ZEINA LORRAINE INC ,646-355-3880,203 WEST 133RD STREET,Manhattan,10030,"Tuesday,Thursday",11AM-2PM,New York,40.8142455,-73.9449435,,
Food Pantry,CONVENT AVENUE BAPTIST CHURCH ,646-698-5102,425 WEST 144TH STREET,Manhattan,10031,"Monday(1,3)",9AM-12PM,New York,40.8239209,-73.9460796,,
Food Pantry,FAMILY INTEGRATION MINISTRY FOOD PANTRY ,347-459-4445,1875 AMSTERDAM AVENUE,Manhattan,10031,Thursday,12-2PM,New York,40.8299762,-73.9438284,,
Food Pantry,UPPER MANHATTAN MENTAL HEALTH CENTER ,212 694-9200,1727 AMSTERDAM AVE @ 145TH,Manhattan,10031,"Tuesday,Wednesday,Thursday",11AM-2PM,New York,,,,
FPM, CITY HARVEST MOBILE MARKET - PRINCE HALL ,646-412-0740,454 WEST 155TH STREET,Manhattan,10032,"Thursday(2),Saturday(4)",9:30-11:30AM,New York,40.8308605,-73.9419082,,
Food Pantry,COMMUNITY LEAGUE OF THE HEIGHTS ,212-795-4779,508 WEST 159TH STREET,Manhattan,10032,"Wednesday,Saturday",9AM-1PM,New York,40.834276,-73.9418628,,
Food Pantry,CATHOLIC CHARITIES WASHINGTON HEIGHTS FOOD PANTRY ,212-862-6401,665 WEST 182ND STREET,Manhattan,10033,Thursday,10AM-12PM,New York,40.8507414,-73.9350539,,
Food Pantry,INTERNATIONAL PENTECOSTAL CHURCH ,212-568-3531,619 WEST 179TH STREET,Manhattan,10033,Tuesday/Friday,11:30AM-3:30PM/12-3PM,New York,40.8484647,-73.9353495,,
FPK, JEWISH COMMUNITY COUNCIL OF WASHINGTON HGTS ,212 568-5450,121 BENNETT AVENUE #11A,Manhattan,10033,"Wednesday(1,2,3)",10AM-1PM,New York,,,,
Food Pantry,BOROUGH COMMUNITY ACTION NETWORK INWOOD ,347-856-8500,213 SHERMAN AVENUE,Manhattan,10034,Friday,2-4PM,New York,40.8654029,-73.9205998,,
Food Pantry,CABRINI IMMIGRANT SERVICES OF NEW YORK CITY INC ,212 791-4590,630 ISHAM STREET,Manhattan,10034,Saturday,7:30-9AM,New York,40.8695593,-73.9209679,,
FPM, CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES ,646-412-0740,177 NAGLE AVENUE,Manhattan,10034,"Wednesday(2),Saturday(4)",9:30-11:30AM,New York,40.8611306,-73.9239949,,
Soup Kitchen,NEW YORK CITY LOVE KITCHEN INC ,212 942-4204,3816 9TH AVE,Manhattan,10034,Monday-Friday,2-4PM,New York,40.8621395,-73.9183739,,
Food Pantry,"WORLDWIDE MISSIONARY MOVEMENT/CENTRO EVANGELISTICO MMM, INC ",212-567-5620,148 POST AVENUE,Manhattan,10034,Saturday,10AM-1PM,New York,40.8653045,-73.9190108,,
Food Pantry,BETH HARK CHRISTIAN COUNSELING CENTER ,212 860-1523,1832 MADISON AVE @120 ST,Manhattan,10035,Tuesday/Thursday,12-2PM/11AM - 1PM,New York,,,,
Soup Kitchen,BETH HARK CHRISTIAN COUNSELING CENTER ,212 860-1523,1832 MADISON AVENUE,Manhattan,10035,"Wednesday,Thursday",12-2PM,New York,40.8015356,-73.943841,,
Food Pantry,CHAMBERS MEMORIAL BAPTIST CHURCH/LOVE OFFERING ,347-600-9820,219 EAST 123RD STREET,Manhattan,10035,Wednesday,9-11AM,New York,40.8022514,-73.9362018,,
Soup Kitchen,FRATERNITE NOTRE DAME ,212-876-5855,2290 FIRST AVENUE,Manhattan,10035,Thursday,11AM-1PM,New York,,,,
Food Pantry,"FRATERNITE NOTRE DAME, INC ",212-876-5855,2290 FIRST AVENUE,Manhattan,10035,Friday,2-5PM,New York,,,,
Food Pantry,FRIENDLY HANDS MINISTRY INC ,646-370-3978,115 EAST 125TH STREET,Manhattan,10035,Wednesday/Thursday,10AM-12PM/10AM-12PM,New York,40.8048264,-73.9379273,,
Food Pantry,THE SALVATION ARMY MANHATTAN CITADEL ,212 860-3200,175 EAST 125TH STREET,Manhattan,10035,Monday-Friday,9AM-3PM,New York,40.8039697,-73.9360191,,
Food Pantry,ST. CLEMENTS FOOD PANTRY ,212 246-7277,423 WEST 46TH STREET 9TH/10AVE,Manhattan,10036,Friday/Saturday,2-6PM/8-11:30AM(info by zip code in alpha order),New York,,,,
Food Pantry,BETHEL AME CHURCH ,212 862-0100,54-60 WEST 132ND STREET,Manhattan,10037,Thursday,9:30-11:30AM,New York,,,,
Food Pantry,CCCS - KENNEDY CENTER FOOD PANTRY ,212-862-6401,34 WEST 134TH STREET,Manhattan,10037,Wednesday,10AM-1PM,New York,40.8123735,-73.9403611,,
Food Pantry,ST. MARK THE EVANGELIST CHURCH ,212 281-4931,65 WEST 138TH STREET,Manhattan,10037,"Saturday(1,2,3,4)",10AM-12PM,New York,40.8158818,-73.9386835,,
Food Pantry,BOROUGH COMMUNITY ACTION NETWORK HARLEM  ,NONE PROVIDED,304 WEST 154TH STREET,Manhattan,10039,Friday,12-3PM,New York,40.8286524,-73.9384831,,
Food Pantry,FATHER CREAVIN'S FOOD PANTRY ,212-281-2100,276 WEST 151ST STREET,Manhattan,10039,Tuesday,9-11AM,New York,40.825867,-73.9377979,,
Food Pantry,ROOSEVELT ISLAND DISABLE ASSOCIATION (RIDA),NONE PROVIDED,548A MAIN STREET (ROOSEVELT ISLAND),Manhattan,10044,Friday,4-6PM,New York,40.7631769,-73.9488178,,
Soup Kitchen,CHRIST CHURCH UNITED METHODIST ,212 838-3036,524 PARK AVENUE,Manhattan,10065,Sunday,4:30-6PM,New York,40.7638795,-73.9696528,,
Soup Kitchen,TEMPLE SHAARAY TEFILA ,212 535-8008,250 EAST 79TH STREET,Manhattan,10075,Wednesday,11:15AM-12PM,New York,40.7732499,-73.9555424,,
Food Pantry,ISAACS HOLMES FOOD PANTRY ,212-360-7620,415 EAST 93RD STREET,Manhattan,10128,Wednesday,9:30-11AM,New York,40.7812634,-73.945134,,
Food Pantry,THE URBAN OUTREACH CENTER OF NYC ,212 288-6743,1745 1ST AVENUE,Manhattan,10128,Tuesday,5:30-6:30PM,New York,40.7798285,-73.9476403,,
Soup Kitchen,THE URBAN OUTREACH CENTER OF NYC ,212-288-6743,1745 1ST AVENUE,Manhattan,10128,"Wednesday,",FRI 9AM - 1PM,New York,40.7798285,-73.9476403,,
Food Pantry,BAIT-UL JAMAAT-HOUSE COMMUNITY INC ,347-289-7991,192 CORSON AVENUE,Staten Island,10301,"Thursday(1,3)",11AM-3PM,New York,40.6371683,-74.0853793,,
Food Pantry,SKYLIGHT CENTER ,718-720-2585,307 ST. MARKS PLACE,Staten Island,10301,Tuesday,2-3PM,New York,40.6426127,-74.0781807,,
Food Pantry,COMMUNITY HEALTH ACTION OF STATEN ISLAND ,718-808-1477,2134 RICHMOND TERRACE,Staten Island,10302,"Monday,Tuesday,Wednesday,Friday",2:30-4:30PM,New York,40.6400656,-74.1343498,,
Food Pantry,REACH OUT AND TOUCH FOOD PANTRY ,718-442-5007,51 COTTAGE PLACE,Staten Island,10302,"Saturday(1,2,4,5)/Saturday(3)",12-1PM/11AM-1PM,New York,40.6358249,-74.1304227,,
Food Pantry,CHRIST ABUNDANT LIFE MINISTRIES ,718-273-0372,121 GRANDVIEW AVENUE,Staten Island,10303,Thursday,5:30-6:30PM,New York,40.6364517,-74.1649491,,
Food Pantry,CHRISTIAN PENTECOSTAL CHURCH ,718 273-5850,900 RICHMOND ROAD,Staten Island,10304,Tuesday,2-4PM,New York,40.6048842,-74.0923518,,
FPM, CITY HARVEST - STAPLETON MOBILE MARKET ,646-412-0740,75 HILL STREET,Staten Island,10304,"Tuesday(1),Saturday(3)",9:30-11:30AM,New York,40.6221304,-74.0806212,,
Food Pantry,FEEDING WITH TLC INC ,718 447-0526,309 ST. PAULS AVENUE,Staten Island,10304,Saturday,10:30AM-12:30PM,New York,40.6302405,-74.0811857,,
Soup Kitchen,FEEDING WITH TLC INC SOUP KITCHEN ,718-447-0526,175 BEACH STREET,Staten Island,10304,Saturday,10:30AM-12:30PM,New York,40.6296855,-74.081307,,
Food Pantry,OUR LADY OF GOOD COUNSEL CHURCH ,718-447-150,42 AUSTIN PLACE,Staten Island,10304,Saturday,9:30-11AM,New York,40.6316094,-74.0864208,,
Food Pantry,"PROJECT HOSPITALITY, INC. ",718 815-0800,205 CANAL STREET,Staten Island,10304,"Tuesday,",THUR 9-11AM,New York,40.6252774,-74.0798305,,
Soup Kitchen,"PROJECT HOSPITALITY, INC. ",718 815-0800,211 CANAL STREET,Staten Island,10304,"Tuesday,",THUR 11:30AM - 1PM,New York,40.6251424,-74.0799161,,
Food Pantry,STAPLETON U.A.M.E. CHURCH ,718 273-2857,49 TOMPKINS AVE,Staten Island,10304,"Tuesday,Friday",10AM-1PM,New York,40.6233783,-74.0786837,,
Soup Kitchen,STAPLETON U.A.M.E. CHURCH ,718 273-2857,49 TOMPKINS AVENUE,Staten Island,10304,Monday/Wednesday,3-4PM/12-1PM,New York,40.6233783,-74.0786837,,
Food Pantry,THE SALVATION ARMY STAPLETON CORPS ,718 448-8480,15 BROAD STREET,Staten Island,10304,Tuesday-Thursday,12-1:30PM,New York,40.6256289,-74.0756069,,
Soup Kitchen,THE SALVATION ARMY STAPLETON CORPS ,718 448-8480,15 BROAD STREET,Staten Island,10304,"Monday,Friday",11:30AM-1PM,New York,40.6256289,-74.0756069,,
Food Pantry,"UNITED CHURCH OF PRAISE INTERNATIONAL MINISTRIES, INC ",718-314-8779,487 VANDERBILT AVENUE,Staten Island,10304,"Friday,Sunday",1-3PM,New York,40.6145277,-74.0857488,,
Food Pantry,HEALTH ESSENTIAL ASSOCIATION INC ,607-689-6618,322 NEW DORP LANE,Staten Island,10306,Tuesday(2ND),10:30-11:30AM,New York,40.5713949,-74.1119156,,
FPK, MESIVTHA OF STATEN ISLAND ,718-356-5412,1870 DRUMGOOLE ROAD EAST,Staten Island,10309,Wednesday,11AM-12PM,New York,40.5275094,-74.2144801,,
Food Pantry,ST. EDWARD FOOD PANTRY ,718 984-1625,6581 HYLAN BOULEVARD,Staten Island,10309,Friday,10AM-1PM(info by zip code in alpha order),New York,40.511884,-74.2224415,,
Food Pantry,CALVARY ASSEMBLY OF GOD ,718-356-4555,4055 RICHMOND AVENUE,Staten Island,10312,Thursday,11AM-12:30PM,New York,,,,
FPK, JEWISH COMMUNITY CENTER OF STATEN ISLAND ,718-475-5242,1466 MANOR ROAD,Staten Island,10314,Monday-Friday,9-5PM,New York,40.5948398,-74.1264587,,
FPH,ABOOM! HEALTH ,718-295-5960,3144 3RD AVENUE,The Bronx,10451,"Monday,Wednesday,Thursday",11AM-12:30PM,New York,40.8222238,-73.9105585,,
FPM, CITY HARVEST - MELROSE MOBILE MARKET ,646-412-0740,286 EAST 156TH STREET,The Bronx,10451,"Wednesday(4),Saturday(2)",9:30-11:30AM,New York,40.8231728,-73.9219277,,
Food Pantry,THE SALVATION ARMY BRONX CITADEL ,718 665-8472,425 EAST 159TH STREET,The Bronx,10451,Tuesday,9AM-12PM,New York,40.8227466,-73.9133944,,
Soup Kitchen,THE SALVATION ARMY BRONX CITADEL ,718 665-8472,425 EAST 159TH STREET,The Bronx,10451,"Monday,Wednesday,Friday",1-2PM,New York,40.8227466,-73.9133944,,
Food Pantry,GRAND CONCOURSE SEVENTH DAY ADVENTIST CHURCH ,718-681-2232,1275 GRAND CONCOURSE,The Bronx,10452,Wednesday(CLOSED,5TH WED)1:30-4PM,New York,40.8363749,-73.9163386,,
FPH,AMOMENTUM PROJECT @ CHURCH OF THE GOD OF PROPHECY ,718-292-7718,85 EAST 165TH STREET,The Bronx,10452,Tuesday,11AM-1PM,New York,40.8316787,-73.9222961,,
Food Pantry,MOSAIC BEACON COMMUNITY CENTER ,917-962-9955,1257 OGDEN AVENUE,The Bronx,10452,Friday,3-5PM,New York,40.8397152,-73.9258126,,
Food Pantry,NEW COVENANT COMMUNITY CORP FP ,718-328-607,1240 EDWARD L. GRANT HIGHWAY,The Bronx,10452,Monday,11AM - 1PM,New York,40.8373282,-73.9220666,,
FPH, THE COMMUNITY FOOD PANTRY ,718-960-2262,1363 OGDEN AVE,The Bronx,10452,Tuesday/Thursday/1ST,SAT 10AM-1PM/12-3PM/10AM-12PM,New York,40.8416827,-73.9248348,,
Food Pantry,WHEDCO - FOOD PANTRY ,718-839-1100,50 EAST 168TH STREET,The Bronx,10452,Wednesday,9:30-10:30AM,New York,40.8363459,-73.9186632,,
Soup Kitchen,WOODYCREST UNITED METHODIST CHURCH ,718-538-7500,89 WEST 166TH STREET,The Bronx,10452,Wednesday,12-1:30PM,New York,40.8353019,-73.9265576,,
Food Pantry,CALVARY UNITED METHODIST CHURCH FOOD PANTRY ,718-299-4732,1885 UNIVERSITY AVENUE,The Bronx,10453,Friday,11AM-1PM,New York,40.8526873,-73.9136985,,
Food Pantry,DAVIDSON COMMUNITY CENTER INC ,718-731-6360,2038 DAVIDSON AVENUE,The Bronx,10453,Friday,5-8PM,New York,40.8535385,-73.9084643,,
FPH, MUNA SOCIAL SERVICE BAITUL ISLAM MASJID ,212-920-6202,2107 DAVIDSON AVENUE,The Bronx,10453,"Thursday(2,4)",2-3PM,New York,40.8556557,-73.907124,,
Food Pantry,ST. EDMUNDS YOUTH PROGRAM INC ,718 466-9370,1905 MORRIS AVENUE,The Bronx,10453,Thursday,12-2PM,New York,40.8499828,-73.9082065,,
Food Pantry,"ABRAHAM HOUSE, INC ",718-292-9321,340 WILLIS AVENUE,The Bronx,10454,Saturday,9-11AM,New York,40.8111483,-73.9209402,,
Food Pantry,ST. ANN'S CHURCH OF MORRISANIA ,718 585-5632,295 ST. ANN'S AVENUE,The Bronx,10454,Wednesday,10AM-1PM & 5-6PM,New York,,,,
Soup Kitchen,ST. ANN'S CHURCH OF MORRISANIA ,718 585-5632,295 ST. ANN'S AVENUE,The Bronx,10454,Sunday,11AM-1PM,New York,40.8084884,-73.9168163,,
Food Pantry,ST. JEROME H.A.N.D.S. COMMUNITY CENTER ,718-402-7866,330 EAST 138TH STREET,The Bronx,10454,Wednesday,10AM-1PM,New York,40.8097437,-73.9247993,,
